County,Net taxable a/  assessed value,"Property tax allocations and levies b,e/ (city)","Property tax allocations and levies b,e/ (County)","Property tax allocations and levies b,e/ (School)","Property tax allocations and levies b,e/ (Other Districts)","Property tax allocations and levies b,e/ (Total)",Average tax rate (%) 2010-11,Rank,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households,English-Language Arts (Grades 2-11) - Number of scores,English-Language Arts (Grades 2-11) - % Proficient or Advanced,"History (Grades 8 and 11, and end-of-course) - Number of scores","History (Grades 8 and 11, and end-of-course) - % Proficient or Advanced","Mathematics (Grades 2-7, and end-of-course) - Number of scores","Mathematics (Grades 2-7, and end-of-course) - % Proficient or Advanced","Science CST (Grades 5, 8, and 10) - Number of scores","Science CST (Grades 5, 8, and 10) - % Proficient or Advanced",Number of Students Included in API,2011 Base API,Total Student Cohort,Total Cohort Graduates,Cohort Dropouts,Cohort Graduation Percentage,Enrollment,Suspensions,Suspension Rate,Expulsions,Expulsion Rate,Truants,Truancy Rate,Bachelors or less,Masters or more,Associates,Bachelors,Masters,Juris Doctor,PhD
Riverside County,"220,795,673,000",136931000,235604000,1048803000,983027000,2404366000,1.09%,33,24431,57768,64787,2189641,686260,"300,818",56.2,"96,337",45.9,"300,362",48.7,"90,135",58,300495,780,"33,410","27,494","3,734",82.3,"450,820","26,843",6.0,988,0.2,"132,157",29.3,6778,10970,15,6735,10828,4,138
Sacramento County,"122,851,014,000",135294000,222072000,712949000,269554000,1339870000,1.09%,27,26953,56439,66003,1418788,513945,"166,752",55.9,"51,537",47.9,"163,669",50.2,"49,350",57.6,161518,779,"19,092","14,647","2,608",76.7,"252,138","20,649",8.2,268,0.1,"72,330",28.7,7127,3665,7,7045,3554,10,101
San Benito County,5810990000,1105000,6371000,41881000,11123000,60480000,1.04%,31,25508,65771,75051,55269,16805,"8,002",52.6,"2,601",49.4,"8,009",40.4,"2,433",55.8,8096,764,846,737,79,87.1,"11,933",517,4.3,28,0.2,"4,053",34.0,364,100,0,364,96,0,4
San Bernardino County,"166,077,956,000",119165000,185233000,807675000,756236000,1868308000,1.13%,43,21867,55845,61526,2035210,611618,"292,972",52.1,"93,425",42.2,"288,408",46.2,"88,099",54.3,284149,767,"33,861","26,105","4,487",77.1,"444,331","32,225",7.3,944,0.2,"161,076",36.3,9999,7650,43,9873,7518,20,112
San Diego County,"378,296,783,000",492592000,526785000,2554331000,574773000,4148481000,1.10%,16,30715,63069,73560,3095313,1086865,"349,546",63,"111,424",53,"346,169",55.3,"104,417",64.8,323349,812,"40,264","31,567","4,198",78.4,"526,201","21,638",4.1,592,0.1,"116,826",22.2,10187,12949,10,10068,12762,16,171
San Francisco County,"157,865,981,000",-,1090646000,558038000,190064000,1838748000,1.17%,2,45478,71304,85778,805235,345811,"38,919",60,"12,013",51.8,"38,915",56.4,"11,420",61,37332,793,"6,787","3,747","2,474",55.2,"63,360","1,610",2.5,33,0.1,"12,971",20.5,1028,824,0,1027,816,1,7
San Joaquin County,54830715000,56762000,115947000,352429000,78397000,603536000,1.10%,38,22851,54341,61292,685306,215007,"98,006",48.2,"30,052",39.1,"95,731",42.9,"29,284",48.8,92775,742,"10,454","7,944","1,609",76,"146,403","12,876",8.8,371,0.3,"41,700",28.5,4368,2079,3,4332,2040,0,39
San Luis Obispo County,41967482000,32502000,104329000,269364000,28572000,434767000,1.04%,17,29790,57365,72054,269637,102016,"24,712",62.9,"7,745",54,"24,214",56.3,"7,400",64.1,24529,813,"3,052","2,674",235,87.6,"36,283","2,034",5.6,90,0.2,"13,321",36.7,1182,544,0,1182,541,0,3
San Mateo County,"142,325,922,000",155076000,205395000,952720000,236970000,1550161000,1.09%,3,43958,85648,101578,718451,257837,"66,786",66,"19,823",57.9,"66,552",59.5,"19,413",66.1,64601,822,"6,775","5,642",745,83.3,"97,508","4,760",4.9,194,0.2,"20,265",20.8,3035,1840,0,3032,1797,2,41
Santa Barbara County,61464193000,31609000,120068000,387555000,109483000,648716000,1.06%,18,29731,60078,69190,423895,142104,"47,313",53.2,"14,440",45.2,"46,156",49.3,"14,004",55,45760,772,"5,231","4,433",549,84.7,"68,916","3,609",5.2,40,0.1,"16,749",24.3,1847,1336,0,1845,1316,0,20
Santa Clara County,"297,251,682,000",332246000,519125000,2178965000,510570000,3540907000,1.19%,4,39804,86850,100733,1781642,604204,"193,147",67.6,"56,324",58.2,"192,169",62,"56,109",69.6,188941,833,"20,282","16,450","2,671",81.1,"280,945","10,464",3.7,250,0.1,"59,448",21.2,7443,5286,6,7413,5149,2,135
Santa Cruz County,33214355000,18926000,42602000,209049000,91444000,362020000,1.09%,11,32862,65253,80264,262382,94355,"27,786",53.9,"8,090",45.7,"27,380",47,"8,088",58.8,25929,761,"2,968","2,416",337,81.4,"41,203",512,1.2,46,0.1,"13,256",32.2,1337,527,0,1337,516,0,11
